GEOCODIGO_MUNICIPIO;NOME_MUNICIPIO;LONGITUDE;LATITUDE
1100015;ALTA FLORESTA D'OESTE;-61.9998238962936;-11.9355403047646
1100023;ARIQUEMES;-63.0332692780484;-9.9084628665672
1100031;CABIXI;-60.5443135812009;-13.4997634596963
1100049;CACOAL;-61.4429442118224;-11.4338650286852
1100056;CEREJEIRAS;-60.8184261646815;-13.1950330320399
1100064;COLORADO DO OESTE;-60.5550674630789;-13.1305638414553
1100072;CORUMBIARA;-60.9487011706614;-12.9975202364834
1100080;COSTA MARQUES;-64.2316539391172;-12.4360138777142
1100098;ESPIGÃO D'OESTE;-61.0201731132847;-11.5285546333473
1100106;GUAJARÁ-MIRIM;-65.3239518196923;-10.7738837406705
1100114;JARU;-62.4762307081317;-10.4359487678844
1100122;JI-PARANÁ;-61.9450945826841;-10.882051318349
1100130;MACHADINHO D'OESTE;-61.9995925724466;-9.42556248
1100148;NOVA BRASILÂNDIA D'OESTE;-62.308230163019;-11.7213254138559
1100155;OURO PRETO DO OESTE;-62.2610551904363;-10.7235739008135
1100189;PIMENTA BUENO;-61.183665673642;-11.67753699
1100205;PORTO VELHO;-63.8314456543611;-8.76889179
1100254;PRESIDENTE MÉDICI;-61.9094386835298;-11.1732050162268
1100262;RIO CRESPO;-62.9000103659589;-9.70553670973949
1100288;ROLIM DE MOURA;-61.7857809351854;-11.7222589133808
1100296;SANTA LUZIA D'OESTE;-61.7733054630545;-11.908423332469
1100304;VILHENA;-60.1385838660987;-12.7413734718029
1100320;SÃO MIGUEL DO GUAPORÉ;-62.7200634814364;-11.6994897438059
1100338;NOVA MAMORÉ;-65.3291490231467;-10.4117712947002
1100346;ALVORADA D'OESTE;-62.2772748656972;-11.3441300234334
1100379;ALTO ALEGRE DOS PARECIS;-61.853077168603;-12.1317772245709
1100403;ALTO PARAÍSO;-63.3176294334976;-9.71666673807728
1100452;BURITIS;-63.8296787917565;-10.2098054072356
1100502;NOVO HORIZONTE DO OESTE;-61.9943876627606;-11.7097429200152
1100601;CACAULÂNDIA;-62.9031899345687;-10.3388728393928
1100700;CAMPO NOVO DE RONDÔNIA;-63.6249914265426;-10.5684164693485
1100809;CANDEIAS DO JAMARI;-63.7000200718298;-8.78502070347748
1100908;CASTANHEIRAS;-61.9491611964662;-11.4268422254625
1100924;CHUPINGUAIA;-60.9018477499554;-12.5568407610938
1100940;CUJUBIM;-62.5871745319209;-9.37819339905712
1101005;GOVERNADOR JORGE TEIXEIRA;-62.7404576394632;-10.6120717726075
1101104;ITAPUÃ DO OESTE;-63.1823370165183;-9.19187167532785
1101203;MINISTRO ANDREAZZA;-61.5189219301053;-11.1962379841591
1101302;MIRANTE DA SERRA;-62.6694270952566;-11.045609289937
1101401;MONTE NEGRO;-63.2955591672175;-10.263097755883
1101435;NOVA UNIÃO;-62.55508939888;-10.9155320416628
1101450;PARECIS;-61.5979979726776;-12.1798270507077
1101468;PIMENTEIRAS DO OESTE;-61.0443790025384;-13.4765620024615
1101476;PRIMAVERA DE RONDÔNIA;-61.3165462429165;-11.8257069542468
1101484;SÃO FELIPE D'OESTE;-61.5125081133327;-11.9143893546886
1101492;SÃO FRANCISCO DO GUAPORÉ;-63.5708647107649;-12.0637984122334
1101500;SERINGUEIRAS;-63.0387609977072;-11.767116635607
1101559;TEIXEIRÓPOLIS;-62.2559222539546;-10.9321692860399
1101609;THEOBROMA;-62.3451455299349;-10.2487305520261
1101708;URUPÁ;-62.3706324537667;-11.1285452756794
1101757;VALE DO ANARI;-62.1768234421278;-9.85139270806179
1101807;VALE DO PARAÍSO;-62.1343903568099;-10.4310526845565
1200013;ACRELÂNDIA;-67.0523165800206;-10.0737938924635
1200054;ASSIS BRASIL;-69.5634591746677;-10.9428656809172
1200104;BRASILÉIA;-68.7479434259584;-11.0164110190858
1200138;BUJARI;-67.9518592792015;-9.82001962670938
1200179;CAPIXABA;-67.6735079719432;-10.5697677087928
1200203;CRUZEIRO DO SUL;-72.6725313174358;-7.63069000500981
1200252;EPITACIOLÂNDIA;-68.7448680666749;-11.0282398279564
1200302;FEIJÓ;-70.3539836082165;-8.16024753
1200328;JORDÃO;-71.9508751248365;-9.19335785982848
1200336;MÂNCIO LIMA;-72.9165010261308;-7.59322259385836
1200344;MANOEL URBANO;-69.2599445775075;-8.83631773689166
1200351;MARECHAL THAUMATURGO;-72.7902659086983;-8.95359112315366
1200385;PLÁCIDO DE CASTRO;-67.1882600861516;-10.3351332827427
1200393;PORTO WALTER;-72.7423339648033;-8.26666636282753
1200401;RIO BRANCO;-67.8105287004235;-9.97829875272498
1200427;RODRIGUES ALVES;-72.6478549141997;-7.73360203372322
1200435;SANTA ROSA DO PURUS;-70.4864968937616;-9.44340653741185
1200450;SENADOR GUIOMARD;-67.7431723600051;-10.1481735861989
1200500;SENA MADUREIRA;-68.655684061692;-9.065339505
1200609;TARAUACÁ;-70.7555010628937;-8.15566859176562
1200708;XAPURI;-68.5062948050463;-10.6520719403355
1200807;PORTO ACRE;-67.5405900835194;-9.60085823118788
